Nomor Perkara,No,Nama
17/Pid.Sus-TPK/2019/PN Jkt.Pst,1,HERLAN J BUTAR BUTAR
16/Pid.Sus-TPK/2019/PN Jkt.Pst,1,HERLAN J BUTAR BUTAR
20/Pid.Sus-TPK/2019/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
21/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Putra Iskandar
24/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Sarjono Turin
23/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Sarjono Turin
22/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Sarjono Turin
25/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"RONALD F.W., SH."
26/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"RONALD F.W., SH."
27/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"Heru Widjatmiko, SH., MH"
28/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"Heru Widjatmiko, SH., MH"
29/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
30/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ZULKIPLI
32/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Irman Yudiandri
31/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Irman Yudiandri
33/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Putra Iskandar
34/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ISKANDAR MARWANTO
35/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ISKANDAR MARWANTO
36/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Budi nugraha
37/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"SURYANI ALAWIYAH, SH."
102/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
104/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ABDUL BASIR
105/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"RONALD F.W., SH."
2/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Mohamad Nur Azis
1/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Budi nugraha
6/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
5/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
4/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Budi nugraha
3/Pid.Sus-TPK/2019/PN Jkt.Pst,1,Budi nugraha
8/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
7/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
9/Pid.Sus-TPK/2019/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
12/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"EVALINDASARI, S.Kom., SH."
11/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"DIDIT ADITIAWAN, SH"
10/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"DIDIT ADITIAWAN, SH"
14/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ELLY SUPAINI
13/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ELLY SUPAINI
15/Pid.Sus-TPK/2019/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
19/Pid.Sus-TPK/2019/PN Jkt.Pst,1,ELLY SUPAINI
18/Pid.Sus-TPK/2019/PN Jkt.Pst,1,HERLAN J BUTAR BUTAR
85/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SARWOTO, SH., MH"
84/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SARWOTO, SH., MH"
83/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Yanuar Utomo, SH., M.Hum"
82/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Yanuar Utomo, SH., M.Hum"
87/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SARWOTO, SH., MH"
89/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SUGENG RIYANTA, SH., MH"
88/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SUGENG RIYANTA, SH., MH"
90/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ABDUL BASIR
92/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
91/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
94/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
93/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
96/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Eva Yustiana
95/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
99/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
98/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
97/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
100/Pid.Sus-TPK/2018/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
101/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
103/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
63/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"MUSTOFA N, SH"
62/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"MUSTOFA N, SH"
65/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Eva Yustiana
66/Pid.Sus-TPK/2018/PN Jkt.Pst,1,FATONI HATAM
67/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"RONALD F.W., SH."
71/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Dr. ERIANTO N, SH., MH"
70/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Dr. ERIANTO N, SH., MH"
69/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Dr. ERIANTO N, SH., MH"
68/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
72/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ISKANDAR MARWANTO
74/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
73/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
75/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Eva Yustiana
76/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"WAWAN Y., SH."
78/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
77/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"WAWAN Y., SH."
79/Pid.Sus-TPK/2018/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
80/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZULKIPLI
81/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Disamarkan
86/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SARWOTO, SH., MH"
42/Pid.Sus-TPK/2018/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
44/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
45/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
46/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ISKANDAR MARWANTO
50/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"NOPRIYANDI, SH"
49/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"NOPRIYANDI, SH"
48/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"NOPRIYANDI, SH"
47/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"NOPRIYANDI, SH"
52/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Mohamad Nur Azis
51/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
53/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Budi nugraha
55/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ELLY SUPAINI
54/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ELLY SUPAINI
58/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
57/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
56/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ABDUL BASIR
59/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Indra Kusmadi
61/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
60/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"LUKI DWI NUGROHO, SH."
64/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"MUSTOFA N, SH"
21/Pid.Sus-TPK/2018/PN Jkt.Pst,1,FATONI HATAM
20/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Salman, SH"
25/Pid.Sus-TPK/2018/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
26/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
28/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
29/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
27/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
30/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
31/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
32/Pid.Sus-TPK/2018/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
33/Pid.Sus-TPK/2018/PN Jkt.Pst,1,Adham Ardhytia Manggala
34/Pid.Sus-TPK/2018/PN Jkt.Pst,1,TASJRIFIN M.A HALIM
35/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"DIDIT A, SH"
36/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"OTTOMAN, SH."
37/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
38/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
39/Pid.Sus-TPK/2018/PN Jkt.Pst,1,KIKI AHMAD YANI
40/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
41/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Salman, SH"
43/Pid.Sus-TPK/2018/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
4/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Donna R Sitorus, SH., MH"
3/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Donna R Sitorus, SH., MH"
6/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
5/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ERNY V. M.
7/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SURMA, SH."
8/Pid.Sus-TPK/2018/PN Jkt.Pst,1,ZAINAL ABIDIN
9/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
10/Pid.Sus-TPK/2018/PN Jkt.Pst,1,FITROH R.
11/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"DODY SUKMONO, SH"
12/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"DODY SUKMONO, SH"
13/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"AGUS JULIANTO PURNOMO, SH"
14/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"AGUS JULIANTO PURNOMO, SH"
16/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SUMIDI, SH."
15/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SUMIDI, SH."
18/Pid.Sus-TPK/2018/PN Jkt.Pst,1,FITROH R.
17/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
19/Pid.Sus-TPK/2018/PN Jkt.Pst,1,FATONI HATAM
24/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"SUPRACOYO, SH"
23/Pid.Sus-TPK/2018/PN Jkt.Pst,1,FATONI HATAM
22/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"Salman, SH"
115/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
116/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
117/Pid.Sus-TPK/2017/PN Jkt.Pst,1,DIAN HAMISENA
121/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
119/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
118/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
120/Pid.Sus-TPK/2017/PN Jkt.Pst,1,HERLAN J BUTAR BUTAR
122/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ASNAWI
123/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Afni Carolina
126/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ASNAWI
124/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ERNY V. M.
125/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ASNAWI
127/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ISKANDAR MARWANTO
129/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
128/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
130/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"IRENE PUTRI, SH."
131/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Afni Carolina
132/Pid.Sus-TPK/2017/PN Jkt.Pst,1,KIKI AHMAD YANI
1/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"DODY SUKMONO, SH"
2/Pid.Sus-TPK/2018/PN Jkt.Pst,1,"DODY SUKMONO, SH"
96/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"SUPRACOYO, SH"
95/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"SUPRACOYO, SH"
98/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"Salman, SH"
97/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"Salman, SH"
99/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"WAWAN Y., SH."
100/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"WAWAN Y., SH."
102/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ZAINAL ABIDIN
101/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ZAINAL ABIDIN
105/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ASNAWI
104/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ASNAWI
103/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ASNAWI
106/Pid.Sus-TPK/2017/PN Jkt.Pst,1,MILIA KURNIAWAN
108/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
107/Pid.Sus-TPK/2017/PN Jkt.Pst,1,TASJRIFIN M.A HALIM
109/Pid.Sus-TPK/2017/PN Jkt.Pst,1,TOLHAS B.H
110/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Seremita Purba
111/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Seremita Purba
112/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ZAINAL ABIDIN
113/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ZAINAL ABIDIN
114/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"FAROUK FAHROZI, SH"
75/Pid.Sus-TPK/2017/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
76/Pid.Sus-TPK/2017/PN Jkt.Pst,1,PAIDI
82/Pid.Sus-TPK/2017/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
81/Pid.Sus-TPK/2017/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
80/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
79/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
78/Pid.Sus-TPK/2017/PN Jkt.Pst,1,MILIA KURNIAWAN
77/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"FEBBY SALAHUDDIN, S.Kom, SH"
83/Pid.Sus-TPK/2017/PN Jkt.Pst,1,KIKI AHMAD YANI
86/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"Donna R Sitorus, SH., MH"
85/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Indra Kusmadi
84/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Mia Banulita
87/Pid.Sus-TPK/2017/PN Jkt.Pst,1,ERNY V. M.
88/Pid.Sus-TPK/2017/PN Jkt.Pst,1,Eva Yustiana
89/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
90/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"WAWAN Y., SH."
93/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
92/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
91/Pid.Sus-TPK/2017/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
94/Pid.Sus-TPK/2017/PN Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
55/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
56/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SORTA APRIANI T., SH."
57/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ERNY V. M.
58/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,Afni Carolina
59/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"MUSTOFA N, SH"
64/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,PAIDI
63/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,PAIDI
62/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,PAIDI
61/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,PAIDI
60/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"KRESNO ANTO WIBOWO, SH.,MH."
65/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"RONALD F.W., SH."
69/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
68/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
67/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
66/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
71/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,TASJRIFIN M.A HALIM
70/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,TASJRIFIN M.A HALIM
72/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,ISKANDAR MARWANTO
73/Pid.Sus-TPK/2017/PN .Jkt.Pst,1,"Theodora Marpaung, SH., MH"
74/Pid.Sus-TPK/2017/PN Jkt.Pst,1,LIE PUTRA SETIAWAN
35/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"ERI YUDIANTO, SH., MH"
36/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
37/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"DIDIT A, SH"
38/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,Amir Nurdianto
39/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,Amir Nurdianto
40/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,Afni Carolina
41/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"IRENE PUTRI, SH."
42/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,KIKI AHMAD YANI
43/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ARIF RAHMAN
44/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ARIF RAHMAN
45/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ARIF RAHMAN
46/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SANIN, SH"
47/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SANIN, SH"
48/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,HERLAN J BUTAR BUTAR
49/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
50/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
51/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
52/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"AGUS JULIANTO PURNOMO, SH"
53/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"AKHMAD, SH"
54/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
15/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"AKHMAD, SH"
16/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"AKHMAD, SH"
17/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"AKHMAD, SH"
18/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"FAROUK FAHROZI, SH"
19/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"MOCH. WIRAKSAJAYA, SH."
20/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SUPRACOYO, SH"
21/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ERNY V. M.
22/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,Nopita R.
23/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SUPRACOYO, SH"
24/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SUPRACOYO, SH"
25/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,AGUSTINUS HERIMULYANTO
26/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,AGUSTINUS H.
27/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,AGUSTINUS H.
28/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,AGUSTINUS HERIMULYANTO
29/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,AGUSTINUS HERIMULYANTO
30/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
31/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ZAINAL ABIDIN
32/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"Burhan Ashshofa, SH., MH"
33/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"Burhan Ashshofa, SH., MH"
34/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"Burhan Ashshofa, SH., MH"
126/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"HERLANGGA WISNU M,SH."
127/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"LISBETH HUTAHEAN,SH"
128/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,AGUSTINUS H.
129/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,ISKANDAR MARWANTO
130/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
131/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
1/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
2/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
3/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,FATONI HATAM
4/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"HERLANGGA WISNU M,SH."
5/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"SUKMADI, SH"
6/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
7/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
8/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,"T.M PAKPAHAN, SH., MH."
9/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
10/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
11/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ERNY V. M.
12/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ERNY V. M.
13/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ERNY V. M.
14/Pid.Sus-TPK/2017/PN Pn.Jkt.Pst,1,ERNY V. M.
106/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,HERLAN J BUTAR BUTAR
107/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,"SURMA, SH."
108/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,FATONI HATAM
109/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
110/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
111/Pid.Sus-TPK/2016/PN Pn.Jkt.Pst,1,TASJRIFIN M.A HALIM
