Nomor Perkara,Tanggal Penetapan,Nama Hakim/Majelis Hakim,Posisi,Aktif
30/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 05 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
30/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 05 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
30/Pid.Sus-TPK/2019/PN Jkt.Pst,"Selasa, 05 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
32/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
31/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
33/Pid.Sus-TPK/2019/PN Jkt.Pst,"Rabu, 06 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
34/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
35/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 11 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
36/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 15 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
36/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 15 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
36/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 15 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
36/Pid.Sus-TPK/2019/PN Jkt.Pst,"Jumat, 15 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
37/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 18 Mar. 2019",Belum Dapat Ditampilkan,Hakim Ketua,Ya
37/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 18 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
37/Pid.Sus-TPK/2019/PN Jkt.Pst,"Senin, 18 Mar. 2019",Belum Dapat Ditampilkan,Hakim Anggota,Ya
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",ROSMINA,Hakim Ketua,Ya
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",SAIFUDIN ZUHRI,Hakim Anggota,Ya
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",DUTA BASKARA,Hakim Anggota,Ya
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",SIGIT HERMAN BINAJI,Hakim Anggota,Ya
102/Pid.Sus-TPK/2018/PN Jkt.Pst,"Jumat, 07 Des. 2018",SUKARTONO.,Hakim Anggota,Ya
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",HARIONO,Hakim Ketua,Ya
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",HASTOPO,Hakim Anggota,Ya
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",ROSMINA,Hakim Anggota,Ya
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",SIGIT HERMAN BINAJI,Hakim Anggota,Ya
104/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",TITI SANSIWI,Hakim Anggota,Ya
105/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",Belum Dapat Ditampilkan,Hakim Ketua,Ya
105/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",Belum Dapat Ditampilkan,Hakim Anggota,Ya
105/Pid.Sus-TPK/2018/PN Jkt.Pst,"Senin, 17 Des. 2018",Belum Dapat Ditampilkan,Hakim Anggota,Ya
